Calendar Date,SP 500 Level
20100324,1167.72
20100325,1165.73
20100326,1166.59
20100329,1173.22
20100330,1173.27
20100331,1169.43
20100401,1178.1
20100405,1187.44
20100406,1189.44
20100407,1182.45
20100408,1186.44
20100409,1194.37
20100412,1196.48
20100413,1197.3
20100414,1210.65
20100415,1211.67
20100416,1192.13
20100419,1197.52
20100420,1207.17
20100421,1205.94
20100422,1208.67
20100423,1217.28
20100426,1212.05
20100427,1183.71
20100428,1191.36
20100429,1206.78
20100430,1186.69
20100503,1202.26
20100504,1173.6
20100505,1165.9
20100506,1128.15
20100507,1110.88
20100510,1159.73
20100511,1155.79
20100512,1171.67
20100513,1157.44
20100514,1135.68
20100517,1136.94
20100518,1120.8
20100519,1115.05
20100520,1071.59
20100521,1087.69
20100524,1073.65
20100525,1074.03
20100526,1067.95
20100527,1103.06
20100528,1089.41
20100601,1070.71
20100602,1098.38
20100603,1102.83
20100604,1064.88
20100607,1050.47
20100608,1062
20100609,1055.69
20100610,1086.84
20100611,1091.6
20100614,1089.63
20100615,1115.23
20100616,1114.61
20100617,1116.04
20100618,1117.51
20100621,1113.2
20100622,1095.31
20100623,1092.04
20100624,1073.69
20100625,1076.76
20100628,1074.57
20100629,1041.24
20100630,1030.71
20100701,1027.37
20100702,1022.58
20100706,1028.06
20100707,1060.27
20100708,1070.25
20100709,1077.96
20100712,1078.75
20100713,1095.34
20100714,1095.17
20100715,1096.48
20100716,1064.88
20100719,1071.25
20100720,1083.48
20100721,1069.59
20100722,1093.67
20100723,1102.66
20100726,1115.01
20100727,1113.84
20100728,1106.13
20100729,1101.53
20100730,1101.6
20100802,1125.86
20100803,1120.46
20100804,1127.24
20100805,1125.81
20100806,1121.64
20100809,1127.79
20100810,1121.06
20100811,1089.47
20100812,1083.61
20100813,1079.25
20100816,1079.38
20100817,1092.54
20100818,1094.16
20100819,1075.63
20100820,1071.69
20100823,1067.36
20100824,1051.87
20100825,1055.33
20100826,1047.22
20100827,1064.59
20100830,1048.92
20100831,1049.33
20100901,1080.29
20100902,1090.1
20100903,1104.51
20100907,1091.84
20100908,1098.87
20100909,1104.18
20100910,1109.55
20100913,1121.9
20100914,1121.1
20100915,1125.07
20100916,1124.66
20100917,1125.59
20100920,1142.71
20100921,1139.78
20100922,1134.28
20100923,1124.83
20100924,1148.67
20100927,1142.16
20100928,1147.7
20100929,1144.73
20100930,1141.2
20101001,1146.24
20101004,1137.03
20101005,1160.75
20101006,1159.97
20101007,1158.06
20101008,1165.15
20101011,1165.32
20101012,1169.77
20101013,1178.1
20101014,1173.81
20101015,1176.19
20101018,1184.71
20101019,1165.9
20101020,1178.17
20101021,1180.26
20101022,1183.08
20101025,1185.62
20101026,1185.64
20101027,1182.45
20101028,1183.78
20101029,1183.26
20101101,1184.38
20101102,1193.57
20101103,1197.96
20101104,1221.06
20101105,1225.85
20101108,1223.25
20101109,1213.4
20101110,1218.71
20101111,1213.54
20101112,1199.21
20101115,1197.75
20101116,1178.34
20101117,1178.59
20101118,1196.69
20101119,1199.73
20101122,1197.84
20101123,1180.73
20101124,1198.35
20101126,1189.4
20101129,1187.76
20101130,1180.55
20101201,1206.07
20101202,1221.53
20101203,1224.71
20101206,1223.12
20101207,1223.75
20101208,1228.28
20101209,1233
20101210,1240.4
20101213,1240.46
20101214,1241.59
20101215,1235.23
20101216,1242.87
20101217,1243.91
20101220,1247.08
20101221,1254.6
20101222,1258.84
20101223,1256.77
20101227,1257.54
20101228,1258.51
20101229,1259.78
20101230,1257.88
20101231,1257.64
20110103,1271.87
20110104,1270.2
20110105,1276.56
20110106,1273.85
20110107,1271.5
20110110,1269.75
20110111,1274.48
20110112,1285.96
20110113,1283.76
20110114,1293.24
20110118,1295.02
20110119,1281.92
20110120,1280.26
20110121,1283.35
20110124,1290.84
20110125,1291.18
20110126,1296.63
20110127,1299.54
20110128,1276.34
20110131,1286.12
20110201,1307.59
20110202,1304.03
20110203,1307.1
20110204,1310.87
20110207,1319.05
20110208,1324.57
20110209,1320.88
20110210,1321.87
20110211,1329.15
20110214,1332.32
20110215,1328.01
20110216,1336.32
20110217,1340.43
20110218,1343.01
20110222,1315.44
20110223,1307.4
20110224,1306.1
20110225,1319.88
20110228,1327.22
20110301,1306.33
20110302,1308.44
20110303,1330.97
20110304,1321.15
20110307,1310.13
20110308,1321.82
20110309,1320.02
20110310,1295.11
20110311,1304.28
20110314,1296.39
20110315,1281.87
20110316,1256.88
20110317,1273.72
20110318,1279.2
20110321,1298.38
20110322,1293.77
20110323,1297.54
20110324,1309.66
20110325,1313.8
20110328,1310.19
20110329,1319.44
20110330,1328.26
20110331,1325.83
